"station","station_name","state","latitude","longitude","elevation_m"
"SAD","SAFFORD MUNICIPAL","AZ",32.8547,-109.6353,968
"SAN","SAN DIEGO/LINDBERG","CA",32.7339,-117.1845,9
"SBA","SANTA BARBARA MUNI","CA",34.4261,-119.8436,3
"SBD","San Bernardino","CA",34.0954,-117.2349,353
"SBP","San Luis Obispo","CA",35.2381,-120.6441,55.6
"SCK","STOCKTON METRO","CA",37.8942,-121.2383,8
"SDB","SANDBURG (AUT)","CA",34.7434,-118.7253,1379
"SDL","SCOTTSDALE MUNI","AZ",33.6229,-111.9105,460
"SDM","SAN DIEGO/BROWN FLD","CA",32.57,-116.98,160
"SEE","SAN DIEGO/GILLESPIE","CA",32.8262,-116.9724,117
"SEZ","Sedona","AZ",34.8486,-111.7884,1472
"SFO","SAN FRANCISCO INTL","CA",37.619,-122.3749,5
"SIY","Montague/Siskiyou","CA",41.7737,-122.4682,804.95
"SJC","SAN JOSE INTL A","CA",37.3594,-121.9244,17
"SJN","ST. JOHNS AIR PARK","AZ",34.52,-109.38,1747
"SLI","LOS ALAMITOS AAF","CA",33.79,-118.052,11
"SMF","SACRAMENTO METRO","CA",38.6954,-121.5908,7
"SMO","SANTA MONICA MUNI","CA",34.021,-118.4471,53
"SMX","SANTA MARIA PUBLIC","CA",34.9,-120.45,73
"SNA","SANTA ANA/JON-WAYNE","CA",33.6757,-117.8682,16
"SNS","Salinas","CA",36.6635,-121.6093,16.14
"SOW","SHOW LOW MUNICIPAL","AZ",34.2655,-110.0057,1954
"SQL","SAN CARLOS AIRPORT","CA",37.5119,-122.2483,1
"STS","Santa Rosa","CA",38.5037,-122.811,31.35
"SUU","TRAVIS AFB/FAIRFLD","CA",38.2627,-121.9275,19
"SVE","Susanville","CA",40.3757,-120.5727,1260.84
"TCY","Tracy","CA",37.6889,-121.4416,56.52
"TOA","TORRANCE MUNICIPAL","CA",33.8034,-118.3396,31
"TQS","Vandenberg Space Force South","CA",34.636,-120.6161,92
"TRK","TRUCKEE-TAHOE","CA",39.32,-120.1396,1798
"TRM","THERMAL AIRPORT","CA",33.6267,-116.1597,-37
"TSP","Tehachapi","CA",35.135,-118.4392,1219.5
"TUS","TUCSON INTL AIRPORT","AZ",32.1203,-110.938,779
"TVL","SOUTH LAKE TAHOE","CA",38.8939,-119.9953,1909
"TYL","Taylor","AZ",34.4577,-110.1118,1746.02
"UKI","Ukiah","CA",39.1258,-123.2008,184.98
"VBG","VANDENBERG AFB","CA",34.7297,-120.5768,112
"VCB","VACAVILLE (WAS O45)","CA",38.3775,-121.9575,34
"VCV","VICTORVILLE","CA",34.5975,-117.383,876
"VGN","Vandenberg Space Force North","CA",34.8495,-120.5996,34
"VIS","VISALIA MUNI (AWOS)","CA",36.3187,-119.3929,89
"VNY","VAN NUYS AIRPORT","CA",34.2097,-118.4892,244
"WHP","LA / WHITEMAN","CA",34.2593,-118.4134,306
"WJF","LANCASTER/FOX FIELD","CA",34.7411,-118.2186,715
"WVI","Watsonville","CA",36.9394,-121.79,49.7
