model,station,split,latitude,longitude,n_hours,bs_model,bs_clim,bss_overall
XGBoost,SUU,Test,38.2627,-121.9275,8686,0.0450241205526533,0.0522410966512225,0.13814748466618
XGBoost,SAN,Test,32.7339,-117.1845,8772,0.0580254728151201,0.0642154239710953,0.0963935262463034
XGBoost,TVL,Test,38.8939,-119.9953,8742,0.0558257531374127,0.0602074577951401,0.0727767758046919
XGBoost,SCK,Test,37.8942,-121.2383,8769,0.0533165363838179,0.0580032637693405,0.0808010977478802
XGBoost,SLI,Test,33.79,-118.052,8640,0.105554744940846,0.124685480207927,0.153431941194583
XGBoost,BLU,Test,39.275,-120.7097,8604,0.0782829480717033,0.118312026497519,0.338334822002692
XGBoost,NXP,Test,34.2962,-116.1622,8474,0.00197355080221311,0.00214707806810483,0.0808201939507915
XGBoost,RIV,Test,33.9,-117.25,8727,0.047270478287013,0.0524368774368859,0.0985260641442902
XGBoost,SMX,Test,34.9,-120.45,8751,0.16177554705092,0.135384402553577,-0.194934896484098
XGBoost,FAT,Test,36.78,-119.7194,8768,0.0530089112687438,0.049904643578495,-0.0622039847928393
XGBoost,SDM,Test,32.57,-116.98,8760,0.147829811783931,0.133072924666214,-0.11089323507943
RandomForest,NTD,Test,34.12,-119.12,8658,0.157521766246898,0.16967343924001,0.0716180036636308
RandomForest,MMH,Test,37.6241,-118.8388,8716,0.019173726429647,0.00765791790089592,-1.50377800830221
RandomForest,MHV,Test,35.059,-118.152,8618,0.00383561031686564,0.000989589738403396,-2.87596007518632
RandomForest,PRB,Test,35.6694,-120.6291,8684,0.0543614275364515,0.0535036642499616,-0.0160318605933714
RandomForest,MRY,Test,36.5904,-121.8488,8532,0.076550540805143,0.0776307170719387,0.0139142894402833
RandomForest,OXR,Test,34.2008,-119.2072,8682,0.118465163700375,0.134353447902111,0.118257361086205
RandomForest,O22,Test,38.0304,-120.4146,8448,0.0415380979752828,0.0579150372651911,0.282775252563836
RandomForest,MCC,Test,38.667,-121.4006,8578,0.0466820199909506,0.0493053999295353,0.0532067469756638
